water_type,wavelength_nm,Kd_downwelling_per_m,status,note
I,350,0.0510,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,375,0.0302,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,400,0.0217,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,425,0.0185,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,450,0.0176,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,475,0.0184,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,500,0.0280,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,525,0.0504,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,550,0.0640,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,575,0.0931,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,600,0.2408,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,625,0.3174,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,650,0.3559,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,675,0.4372,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
I,700,0.6513,pure_seawater,the type I row is pure sea water Kw; Jerlov's own values fall below it
IA,350,0.0632,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,375,0.0412,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,400,0.0316,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,425,0.0280,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,450,0.0257,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,475,0.0250,jerlov_original,475 nm is identical to Jerlov (1976) Table XXVII
IA,500,0.0332,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,525,0.0545,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,550,0.0674,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,575,0.0960,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,600,0.2437,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,625,0.3206,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,650,0.3601,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,675,0.4410,model,computed from K(475) by Austin & Petzold Eq. (6)
IA,700,0.6530,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,350,0.0782,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,375,0.0546,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,400,0.0438,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,425,0.0395,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,450,0.0355,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,475,0.0330,jerlov_original,475 nm is identical to Jerlov (1976) Table XXVII
IB,500,0.0396,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,525,0.0596,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,550,0.0715,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,575,0.0995,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,600,0.2471,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,625,0.3245,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,650,0.3652,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,675,0.4457,model,computed from K(475) by Austin & Petzold Eq. (6)
IB,700,0.6550,model,computed from K(475) by Austin & Petzold Eq. (6)
II,350,0.1325,model,computed from K(475) by Austin & Petzold Eq. (6)
II,375,0.1031,model,computed from K(475) by Austin & Petzold Eq. (6)
II,400,0.0878,model,computed from K(475) by Austin & Petzold Eq. (6)
II,425,0.0814,model,computed from K(475) by Austin & Petzold Eq. (6)
II,450,0.0714,model,computed from K(475) by Austin & Petzold Eq. (6)
II,475,0.0620,jerlov_original,475 nm is identical to Jerlov (1976) Table XXVII
II,500,0.0627,model,computed from K(475) by Austin & Petzold Eq. (6)
II,525,0.0779,model,computed from K(475) by Austin & Petzold Eq. (6)
II,550,0.0863,model,computed from K(475) by Austin & Petzold Eq. (6)
II,575,0.1122,model,computed from K(475) by Austin & Petzold Eq. (6)
II,600,0.2595,model,computed from K(475) by Austin & Petzold Eq. (6)
II,625,0.3389,model,computed from K(475) by Austin & Petzold Eq. (6)
II,650,0.3837,model,computed from K(475) by Austin & Petzold Eq. (6)
II,675,0.4626,model,computed from K(475) by Austin & Petzold Eq. (6)
II,700,0.6623,model,computed from K(475) by Austin & Petzold Eq. (6)
III,350,0.2335,model,computed from K(475) by Austin & Petzold Eq. (6)
III,375,0.1935,model,computed from K(475) by Austin & Petzold Eq. (6)
III,400,0.1697,model,computed from K(475) by Austin & Petzold Eq. (6)
III,425,0.1594,model,computed from K(475) by Austin & Petzold Eq. (6)
III,450,0.1381,model,computed from K(475) by Austin & Petzold Eq. (6)
III,475,0.1160,jerlov_original,475 nm is identical to Jerlov (1976) Table XXVII
III,500,0.1056,model,computed from K(475) by Austin & Petzold Eq. (6)
III,525,0.1120,model,computed from K(475) by Austin & Petzold Eq. (6)
III,550,0.1139,model,computed from K(475) by Austin & Petzold Eq. (6)
III,575,0.1359,model,computed from K(475) by Austin & Petzold Eq. (6)
III,600,0.2826,model,computed from K(475) by Austin & Petzold Eq. (6)
III,625,0.3655,model,computed from K(475) by Austin & Petzold Eq. (6)
III,650,0.4181,model,computed from K(475) by Austin & Petzold Eq. (6)
III,675,0.4942,model,computed from K(475) by Austin & Petzold Eq. (6)
III,700,0.6760,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,350,0.3345,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,375,0.2839,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,400,0.2516,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,425,0.2374,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,450,0.2048,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,475,0.1700,jerlov_original,475 nm is identical to Jerlov (1976) Table XXVII
1C,500,0.1486,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,525,0.1461,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,550,0.1415,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,575,0.1596,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,600,0.3057,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,625,0.3922,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,650,0.4525,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,675,0.5257,model,computed from K(475) by Austin & Petzold Eq. (6)
1C,700,0.6896,model,computed from K(475) by Austin & Petzold Eq. (6)
