wavelength_nm,x_bar,y_bar,z_bar
360,0.0001299,3.917e-06,0.0006061
361,0.000145847,4.39358e-06,0.000680879
362,0.000163802,4.9296e-06,0.000765146
363,0.000184004,5.53214e-06,0.000860012
364,0.00020669,6.20824e-06,0.000966593
365,0.0002321,6.965e-06,0.001086
366,0.000260728,7.81322e-06,0.00122059
367,0.000293075,8.76734e-06,0.00137273
368,0.000329388,9.83984e-06,0.00154358
369,0.000369914,1.10432e-05,0.00173429
370,0.0004149,1.239e-05,0.001946
371,0.000464159,1.38864e-05,0.00217778
372,0.000518986,1.55573e-05,0.00243581
373,0.000581854,1.7443e-05,0.00273195
374,0.000655235,1.95838e-05,0.00307806
375,0.0007416,2.202e-05,0.003486
376,0.00084503,2.48396e-05,0.00397523
377,0.000964527,2.80413e-05,0.00454088
378,0.00109495,3.1531e-05,0.00515832
379,0.00123115,3.52152e-05,0.00580291
380,0.001368,3.9e-05,0.00645
381,0.00150205,4.28264e-05,0.00708322
382,0.00164233,4.69146e-05,0.00774549
383,0.00180238,5.15896e-05,0.00850115
384,0.00199576,5.71764e-05,0.00941454
385,0.002236,6.4e-05,0.01055
386,0.00253538,7.23442e-05,0.0119658
387,0.0028926,8.22122e-05,0.0136559
388,0.00330083,9.35082e-05,0.0155881
389,0.00375324,0.000106136,0.0177302
390,0.004243,0.00012,0.02005
391,0.00476239,0.000134984,0.0225114
392,0.00533005,0.000151492,0.0252029
393,0.00597871,0.000170208,0.0282797
394,0.00674112,0.000191816,0.031897
395,0.00765,0.000217,0.03621
396,0.00875137,0.000246907,0.0414377
397,0.0100289,0.00028124,0.0475037
398,0.0114217,0.00031852,0.0541199
399,0.012869,0.000357267,0.060998
400,0.01431,0.000396,0.06785
401,0.0157044,0.000433715,0.0744863
402,0.0171474,0.000473024,0.0813616
403,0.0187812,0.000517876,0.0891536
404,0.020748,0.000572219,0.0985405
405,0.02319,0.00064,0.1102
406,0.0262074,0.00072456,0.124613
407,0.0297825,0.0008255,0.141702
408,0.0338809,0.00094116,0.161303
409,0.0384682,0.00106988,0.183257
410,0.04351,0.00121,0.2074
411,0.0489956,0.00136209,0.233692
412,0.0550226,0.00153075,0.262611
413,0.0617188,0.00172037,0.294775
414,0.069212,0.00193532,0.330798
415,0.07763,0.00218,0.3713
416,0.0869581,0.0024548,0.416209
417,0.0971767,0.002764,0.465464
418,0.108406,0.0031178,0.519695
419,0.120767,0.0035264,0.57953
420,0.13438,0.004,0.6456
421,0.149358,0.00454624,0.718484
422,0.165396,0.00515932,0.796713
423,0.181983,0.00582928,0.877846
424,0.198611,0.00654616,0.959439
425,0.21477,0.0073,1.03905
426,0.230187,0.00808651,1.11537
427,0.24488,0.00890872,1.1885
428,0.258777,0.00976768,1.25812
429,0.271808,0.0106644,1.32393
430,0.2839,0.0116,1.3856
431,0.294944,0.0125732,1.44264
432,0.304897,0.0135827,1.4948
433,0.313787,0.0146297,1.54219
434,0.321645,0.0157151,1.58488
435,0.3285,0.01684,1.62296
436,0.334351,0.0180074,1.6564
437,0.33921,0.0192145,1.6853
438,0.343121,0.0204539,1.70987
439,0.34613,0.0217182,1.73038
440,0.34828,0.023,1.74706
441,0.3496,0.0242946,1.76004
442,0.350147,0.0256102,1.76962
443,0.350013,0.0269586,1.77626
444,0.349287,0.0283513,1.78043
445,0.34806,0.0298,1.7826
446,0.346373,0.0313108,1.78297
447,0.344262,0.0328837,1.7817
448,0.341809,0.0345211,1.7792
449,0.339094,0.0362257,1.77587
450,0.3362,0.038,1.77211
451,0.333198,0.0398467,1.76826
452,0.330041,0.041768,1.76404
453,0.326636,0.043766,1.75894
454,0.322887,0.0458427,1.75247
455,0.3187,0.048,1.7441
456,0.314025,0.0502437,1.73356
457,0.308884,0.052573,1.72086
458,0.30329,0.0549806,1.70594
459,0.297258,0.0574587,1.68874
460,0.2908,0.06,1.6692
461,0.28397,0.062602,1.64753
462,0.276721,0.0652775,1.62341
463,0.268918,0.0680421,1.59602
464,0.260423,0.0709111,1.56453
465,0.2511,0.0739,1.5281
466,0.240847,0.077016,1.48611
467,0.229851,0.0802664,1.43952
468,0.218407,0.0836668,1.38988
469,0.206812,0.0872328,1.33874
470,0.19536,0.09098,1.28764
471,0.184214,0.0949176,1.23742
472,0.173327,0.0990458,1.18782
473,0.162688,0.103367,1.13876
474,0.152283,0.107885,1.09015
475,0.1421,0.1126,1.0419
476,0.132179,0.117532,0.994198
477,0.12257,0.122674,0.947347
478,0.113275,0.127993,0.901453
479,0.104298,0.133453,0.856619
480,0.09564,0.13902,0.81295
481,0.0872996,0.144676,0.770517
482,0.079308,0.150469,0.729445
483,0.0717178,0.156462,0.689914
484,0.064581,0.162718,0.652105
485,0.05795,0.1693,0.6162
486,0.0518621,0.176243,0.582329
487,0.0462815,0.183558,0.550416
488,0.0411509,0.191274,0.520338
489,0.0364128,0.199418,0.491967
490,0.03201,0.20802,0.46518
491,0.0279172,0.21712,0.439925
492,0.0241444,0.226735,0.416184
493,0.020687,0.236857,0.393882
494,0.0175404,0.247481,0.372946
495,0.0147,0.2586,0.3533
496,0.0121618,0.270185,0.334858
497,0.00991996,0.282294,0.317552
498,0.00796724,0.29505,0.301337
499,0.00629635,0.308578,0.286169
500,0.0049,0.323,0.272
