water_type,wavelength_nm,Kd_downwelling_per_m,transmittance_percent_per_m,status,note
I,310,0.1508,86,ok,
I,350,0.0619,94,ok,
I,375,0.0377,96.3,ok,
I,400,0.0284,97.2,ok,
I,425,0.0222,97.8,ok,
I,450,0.0192,98.1,ok,
I,475,0.0182,98.2,ok,
I,500,0.0284,97.2,ok,
I,525,0.0398,96.1,ok,
I,550,0.0598,94.2,ok,
I,575,0.0834,92,ok,
I,600,0.1625,85,ok,
I,625,0.3011,74,ok,
I,650,0.3567,70,ok,
I,675,0.4155,66,ok,
I,700,0.5276,59,ok,
IA,310,0.1863,83,ok,
IA,350,0.0780,92.5,ok,
IA,375,0.0502,95.1,ok,
IA,400,0.0377,96.3,ok,
IA,425,0.0294,97.1,ok,
IA,450,0.0263,97.4,ok,
IA,475,0.0253,97.5,ok,
IA,500,0.0346,96.6,ok,
IA,525,0.0460,95.5,ok,
IA,550,0.0661,93.6,ok,
IA,575,0.0943,91,ok,
IA,600,0.1744,84,ok,
IA,625,0.3079,73.5,ok,
IA,650,0.3638,69.5,ok,
IA,675,0.4231,65.5,ok,
IA,700,0.5361,58.5,ok,
IB,310,0.2231,80,ok,
IB,350,0.0998,90.5,ok,
IB,375,0.0619,94,ok,
IB,400,0.0460,95.5,ok,
IB,425,0.0367,96.4,ok,
IB,450,0.0336,96.7,ok,
IB,475,0.0325,96.8,ok,
IB,500,0.0408,96.0,ok,
IB,525,0.0513,95.0,ok,
IB,550,0.0726,93.0,ok,
IB,575,0.0998,90.5,ok,
IB,600,0.1863,83,ok,
IB,625,0.3147,73,ok,
IB,650,0.3711,69,ok,
IB,675,0.4308,65,ok,
IB,700,0.5447,58.0,ok,
II,310,0.3711,69,ok,
II,350,0.1744,84,ok,
II,375,0.1165,89,ok,
II,400,0.0834,92,ok,
II,425,0.0672,93.5,ok,
II,450,0.0619,94,ok,
II,475,0.0619,94,ok,
II,500,0.0672,93.5,ok,
II,525,0.0780,92.5,ok,
II,550,0.0998,90.5,ok,
II,575,0.1335,87.5,ok,
II,600,0.2231,80,ok,
II,625,0.3425,71,ok,
II,650,0.3930,67.5,ok,
II,675,0.4541,63.5,ok,
II,700,0.5798,56,ok,
III,310,0.6931,50,ok,
III,350,0.3425,71,ok,
III,375,0.2357,79,ok,
III,400,0.1744,84,ok,
III,425,0.1393,87,ok,
III,450,0.1222,88.5,ok,
III,475,0.1165,89,ok,
III,500,0.1165,89,ok,
III,525,0.1222,88.5,ok,
III,550,0.1450,86.5,ok,
III,575,0.1924,82.5,ok,
III,600,0.2877,75,ok,
III,625,0.3857,68,ok,
III,650,0.4308,65,ok,
III,675,0.4943,61,ok,
III,700,0.6162,54,ok,
