water_type,depth_m,percent_of_surface,status,note
I,0,100,ok,
I,1,44.5,ok,
I,2,38.5,ok,
I,5,30.2,ok,
I,10,22.2,ok,
I,20,,missing,blank in Table XXI
I,25,13.2,ok,
I,50,5.3,ok,
I,75,1.68,ok,
I,100,0.53,ok,
I,150,0.056,ok,
I,200,0.0062,ok,
IA,0,100,ok,
IA,1,44.1,ok,
IA,2,37.9,ok,
IA,5,29.0,ok,
IA,10,20.8,ok,
IA,20,,missing,blank in Table XXI
IA,25,11.1,ok,
IA,50,3.3,ok,
IA,75,0.95,ok,
IA,100,0.28,ok,
IA,150,,missing,blank in Table XXI
IA,200,,missing,blank in Table XXI
IB,0,100,ok,
IB,1,42.9,ok,
IB,2,36.0,ok,
IB,5,25.8,ok,
IB,10,16.9,ok,
IB,20,,missing,blank in Table XXI
IB,25,7.7,ok,
IB,50,1.8,ok,
IB,75,0.42,ok,
IB,100,0.1,ok,
IB,150,,missing,blank in Table XXI
IB,200,,missing,blank in Table XXI
II,0,100,ok,
II,1,42.0,ok,
II,2,34.7,ok,
II,5,23.4,ok,
II,10,14.2,ok,
II,20,,missing,blank in Table XXI
II,25,4.2,ok,
II,50,0.7,ok,
II,75,0.124,ok,
II,100,0.0228,ok,
II,150,0.0008,ok,
II,200,,missing,blank in Table XXI
III,0,100,ok,
III,1,39.4,ok,
III,2,30.3,ok,
III,5,16.8,ok,
III,10,7.6,ok,
III,20,,missing,blank in Table XXI
III,25,0.97,ok,
III,50,0.041,ok,
III,75,0.0018,ok,
III,100,,missing,blank in Table XXI
III,150,,missing,blank in Table XXI
III,200,,missing,blank in Table XXI
1C,0,100,ok,
1C,1,36.9,ok,
1C,2,27.1,ok,
1C,5,14.2,ok,
1C,10,5.9,ok,
1C,20,1.3,ok,
1C,25,,missing,blank in Table XXI
1C,50,0.022,ok,
1C,75,,missing,blank in Table XXI
1C,100,,missing,blank in Table XXI
1C,150,,missing,blank in Table XXI
1C,200,,missing,blank in Table XXI
3C,0,100,ok,
3C,1,33.0,ok,
3C,2,22.5,ok,
3C,5,9.3,ok,
3C,10,2.7,ok,
3C,20,0.29,ok,
3C,25,,missing,blank in Table XXI
3C,50,,missing,blank in Table XXI
3C,75,,missing,blank in Table XXI
3C,100,,missing,blank in Table XXI
3C,150,,missing,blank in Table XXI
3C,200,,missing,blank in Table XXI
5C,0,100,ok,
5C,1,27.8,ok,
5C,2,16.4,ok,
5C,5,4.6,ok,
5C,10,0.69,ok,
5C,20,0.02,ok,
5C,25,,missing,blank in Table XXI
5C,50,,missing,blank in Table XXI
5C,75,,missing,blank in Table XXI
5C,100,,missing,blank in Table XXI
5C,150,,missing,blank in Table XXI
5C,200,,missing,blank in Table XXI
7C,0,100,ok,
7C,1,22.6,ok,
7C,2,11.3,ok,
7C,5,2.1,ok,
7C,10,0.17,ok,
7C,20,,missing,blank in Table XXI
7C,25,,missing,blank in Table XXI
7C,50,,missing,blank in Table XXI
7C,75,,missing,blank in Table XXI
7C,100,,missing,blank in Table XXI
7C,150,,missing,blank in Table XXI
7C,200,,missing,blank in Table XXI
9C,0,100,ok,
9C,1,17.6,ok,
9C,2,7.5,ok,
9C,5,1.0,ok,
9C,10,0.052,ok,
9C,20,,missing,blank in Table XXI
9C,25,,missing,blank in Table XXI
9C,50,,missing,blank in Table XXI
9C,75,,missing,blank in Table XXI
9C,100,,missing,blank in Table XXI
9C,150,,missing,blank in Table XXI
9C,200,,missing,blank in Table XXI
