water_type,wavelength_nm,Kd_downwelling_per_m,status,note
I,350,0.0510,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,375,0.0302,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,400,0.0217,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,425,0.0185,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,450,0.0176,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,475,0.0184,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,500,0.0280,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,525,0.0504,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,550,0.0640,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,575,0.0931,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,600,0.2408,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,625,0.3174,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,650,0.3559,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,675,0.4372,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
I,700,0.6513,pure_seawater,type I の行は純海水の Kw そのもの (Jerlov の値が Kw を下回るため置換)
IA,350,0.0632,model,Austin & Petzold の式(6)により K(475) から算出
IA,375,0.0412,model,Austin & Petzold の式(6)により K(475) から算出
IA,400,0.0316,model,Austin & Petzold の式(6)により K(475) から算出
IA,425,0.0280,model,Austin & Petzold の式(6)により K(475) から算出
IA,450,0.0257,model,Austin & Petzold の式(6)により K(475) から算出
IA,475,0.0250,jerlov_original,475 nm は Jerlov (1976) Table XXVII の値と同一
IA,500,0.0332,model,Austin & Petzold の式(6)により K(475) から算出
IA,525,0.0545,model,Austin & Petzold の式(6)により K(475) から算出
IA,550,0.0674,model,Austin & Petzold の式(6)により K(475) から算出
IA,575,0.0960,model,Austin & Petzold の式(6)により K(475) から算出
IA,600,0.2437,model,Austin & Petzold の式(6)により K(475) から算出
IA,625,0.3206,model,Austin & Petzold の式(6)により K(475) から算出
IA,650,0.3601,model,Austin & Petzold の式(6)により K(475) から算出
IA,675,0.4410,model,Austin & Petzold の式(6)により K(475) から算出
IA,700,0.6530,model,Austin & Petzold の式(6)により K(475) から算出
IB,350,0.0782,model,Austin & Petzold の式(6)により K(475) から算出
IB,375,0.0546,model,Austin & Petzold の式(6)により K(475) から算出
IB,400,0.0438,model,Austin & Petzold の式(6)により K(475) から算出
IB,425,0.0395,model,Austin & Petzold の式(6)により K(475) から算出
IB,450,0.0355,model,Austin & Petzold の式(6)により K(475) から算出
