wavelength_nm,M_slope,Kw_pure_seawater_per_m,status,note
350,2.1442,0.0510,extrapolated,the paper states this M was extrapolated and should be used with caution
355,2.0968,0.0453,extrapolated,the paper states this M was extrapolated and should be used with caution
360,2.0504,0.0405,extrapolated,the paper states this M was extrapolated and should be used with caution
365,2.0051,0.0365,ok,
370,1.9610,0.0331,ok,
375,1.9183,0.0302,ok,
380,1.8772,0.0278,ok,
385,1.8379,0.0258,ok,
390,1.8009,0.0242,ok,
395,1.7671,0.0228,ok,
400,1.7383,0.0217,ok,
405,1.7463,0.0208,ok,
410,1.7591,0.0200,ok,
415,1.7312,0.0194,ok,
420,1.6974,0.0189,ok,
425,1.6550,0.0185,ok,
430,1.6108,0.0182,ok,
435,1.5648,0.0180,ok,
440,1.5169,0.0178,ok,
445,1.4673,0.0176,ok,
450,1.4158,0.0176,ok,
455,1.3627,0.0175,ok,
460,1.3077,0.0176,ok,
465,1.2521,0.0177,ok,
470,1.1982,0.0179,ok,
475,1.1460,0.0184,ok,
480,1.0955,0.0193,ok,
485,1.0469,0.0206,ok,
490,1.0000,0.0224,ok,
495,0.9550,0.0248,ok,
500,0.9118,0.0280,ok,
505,0.8704,0.0320,ok,
510,0.8310,0.0369,ok,
515,0.7934,0.0428,ok,
520,0.7578,0.0498,ok,
525,0.7241,0.0504,ok,
530,0.6924,0.0526,ok,
535,0.6627,0.0550,ok,
540,0.6350,0.0577,ok,
545,0.6094,0.0607,ok,
550,0.5860,0.0640,ok,
555,0.5647,0.0678,ok,
560,0.5457,0.0723,ok,
565,0.5289,0.0776,ok,
570,0.5146,0.0842,ok,
575,0.5027,0.0931,ok,
580,0.4935,0.1065,ok,
585,0.4871,0.1341,ok,
590,0.4840,0.1578,ok,
595,0.4853,0.2043,ok,
600,0.4903,0.2409,ok,
605,0.4983,0.2688,ok,
610,0.5090,0.2892,ok,
615,0.5223,0.3040,ok,
620,0.5380,0.3124,ok,
625,0.5659,0.3174,ok,
630,0.6231,0.3196,ok,
635,0.6683,0.3227,ok,
640,0.7001,0.3290,ok,
645,0.7201,0.3397,ok,
650,0.7300,0.3559,ok,
655,0.7323,0.3789,ok,
660,0.7301,0.4105,ok,
665,0.7205,0.4208,ok,
670,0.7008,0.4278,ok,
675,0.6693,0.4372,ok,
680,0.6245,0.4521,ok,
685,0.5651,0.4755,ok,
690,0.4901,0.5116,ok,
695,0.3984,0.5671,ok,
700,0.2891,0.6514,ok,
