water_type,wavelength_nm,Kd_downwelling_per_m,status,note
I,300,0.172,ok,
I,301,0.1698,ok,
I,302,0.1676,ok,
I,303,0.1654,ok,
I,304,0.1632,ok,
I,305,0.161,ok,
I,306,0.1588,ok,
I,307,0.1566,ok,
I,308,0.1544,ok,
I,309,0.1522,ok,
I,310,0.15,ok,
I,311,0.1478,ok,
I,312,0.1456,ok,
I,313,0.1434,ok,
I,314,0.1412,ok,
I,315,0.139,ok,
I,316,0.1368,ok,
I,317,0.1346,ok,
I,318,0.1324,ok,
I,319,0.1302,ok,
I,320,0.128,ok,
I,321,0.1258,ok,
I,322,0.1236,ok,
I,323,0.1214,ok,
I,324,0.1192,ok,
I,325,0.117,ok,
I,326,0.1148,ok,
I,327,0.1126,ok,
I,328,0.1104,ok,
I,329,0.1082,ok,
I,330,0.106,ok,
I,331,0.1038,ok,
I,332,0.1016,ok,
I,333,0.0994,ok,
I,334,0.0972,ok,
I,335,0.095,ok,
I,336,0.0928,ok,
I,337,0.0906,ok,
I,338,0.0884,ok,
I,339,0.0862,ok,
I,340,0.084,ok,
I,341,0.0818,ok,
I,342,0.0796,ok,
I,343,0.0774,ok,
I,344,0.0752,ok,
I,345,0.073,ok,
I,346,0.0708,ok,
I,347,0.0686,ok,
I,348,0.0664,ok,
I,349,0.0642,ok,
I,350,0.062,ok,
I,351,0.061,ok,
I,352,0.0601,ok,
I,353,0.0591,ok,
I,354,0.0582,ok,
I,355,0.0572,ok,
I,356,0.0562,ok,
I,357,0.0553,ok,
I,358,0.0543,ok,
I,359,0.0534,ok,
I,360,0.0524,ok,
I,361,0.0514,ok,
I,362,0.0505,ok,
I,363,0.0495,ok,
I,364,0.0486,ok,
I,365,0.0476,ok,
I,366,0.0466,ok,
I,367,0.0457,ok,
I,368,0.0447,ok,
I,369,0.0438,ok,
I,370,0.0428,ok,
I,371,0.0418,ok,
I,372,0.0409,ok,
I,373,0.0399,ok,
I,374,0.039,ok,
I,375,0.038,ok,
I,376,0.0376,ok,
I,377,0.0372,ok,
I,378,0.0368,ok,
I,379,0.0364,ok,
I,380,0.036,ok,
I,381,0.0356,ok,
I,382,0.0352,ok,
I,383,0.0348,ok,
I,384,0.0344,ok,
I,385,0.034,ok,
I,386,0.0336,ok,
I,387,0.0332,ok,
I,388,0.0328,ok,
I,389,0.0324,ok,
I,390,0.032,ok,
I,391,0.0316,ok,
I,392,0.0312,ok,
I,393,0.0308,ok,
I,394,0.0304,ok,
I,395,0.03,ok,
I,396,0.0296,ok,
I,397,0.0292,ok,
I,398,0.0288,ok,
I,399,0.0284,ok,
I,400,0.028,ok,
I,401,0.0278,ok,
I,402,0.0275,ok,
I,403,0.0273,ok,
I,404,0.027,ok,
I,405,0.0268,ok,
I,406,0.0266,ok,
I,407,0.0263,ok,
I,408,0.0261,ok,
I,409,0.0258,ok,
I,410,0.0256,ok,
I,411,0.0254,ok,
I,412,0.0251,ok,
I,413,0.0249,ok,
I,414,0.0246,ok,
I,415,0.0244,ok,
I,416,0.0242,ok,
I,417,0.0239,ok,
I,418,0.0237,ok,
I,419,0.0234,ok,
I,420,0.0232,ok,
I,421,0.023,ok,
I,422,0.0227,ok,
I,423,0.0225,ok,
I,424,0.0222,ok,
I,425,0.022,ok,
I,426,0.0219,ok,
I,427,0.0218,ok,
I,428,0.0216,ok,
I,429,0.0215,ok,
I,430,0.0214,ok,
I,431,0.0213,ok,
I,432,0.0212,ok,
I,433,0.021,ok,
I,434,0.0209,ok,
I,435,0.0208,ok,
I,436,0.0207,ok,
I,437,0.0206,ok,
I,438,0.0204,ok,
I,439,0.0203,ok,
I,440,0.0202,ok,
I,441,0.0201,ok,
I,442,0.02,ok,
I,443,0.0198,ok,
I,444,0.0197,ok,
I,445,0.0196,ok,
I,446,0.0195,ok,
I,447,0.0194,ok,
I,448,0.0192,ok,
I,449,0.0191,ok,
I,450,0.019,ok,
I,451,0.019,ok,
I,452,0.0189,ok,
I,453,0.0189,ok,
I,454,0.0188,ok,
I,455,0.0188,ok,
I,456,0.0188,ok,
I,457,0.0187,ok,
I,458,0.0187,ok,
I,459,0.0186,ok,
I,460,0.0186,ok,
I,461,0.0186,ok,
