water_type,wavelength_nm,quantity,value_per_m,unit,status,published_value_per_m,williamson2022_value_per_m,value_source,note
I,300,Kd0,0.173,1/m,ok,0.173,,solonenko2015,
I,300,Kd,0.186,1/m,ok,0.186,,solonenko2015,
I,300,KdH,0.2,1/m,ok,0.2,,solonenko2015,
I,300,a,0.163,1/m,ok,0.163,,solonenko2015,
I,300,b,0.0208,1/m,suspect,0.0208,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,310,Kd0,0.151,1/m,ok,0.151,,solonenko2015,
I,310,Kd,0.154,1/m,ok,0.154,,solonenko2015,
I,310,KdH,0.167,1/m,ok,0.167,,solonenko2015,
I,310,a,0.134,1/m,ok,0.134,,solonenko2015,
I,310,b,0.0181,1/m,suspect,0.0181,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,350,Kd0,0.0619,1/m,ok,0.0619,,solonenko2015,
I,350,Kd,0.059,1/m,ok,0.059,,solonenko2015,
I,350,KdH,0.063,1/m,ok,0.063,,solonenko2015,
I,350,a,0.048,1/m,ok,0.048,,solonenko2015,
I,350,b,0.0108,1/m,suspect,0.0108,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,375,Kd0,0.0377,1/m,ok,0.0377,,solonenko2015,
I,375,Kd,0.038,1/m,ok,0.038,,solonenko2015,
I,375,KdH,0.04,1/m,ok,0.04,,solonenko2015,
I,375,a,0.03,1/m,ok,0.03,,solonenko2015,
I,375,b,0.00811,1/m,suspect,0.00811,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,400,Kd0,0.0284,1/m,ok,0.0284,,solonenko2015,
I,400,Kd,0.028,1/m,ok,0.028,,solonenko2015,
I,400,KdH,0.029,1/m,ok,0.029,,solonenko2015,
I,400,a,0.022,1/m,ok,0.022,,solonenko2015,
I,400,b,0.0062,1/m,suspect,0.0062,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,425,Kd0,0.0222,1/m,ok,0.0222,,solonenko2015,
I,425,Kd,0.022,1/m,ok,0.022,,solonenko2015,
I,425,KdH,0.023,1/m,ok,0.023,,solonenko2015,
I,425,a,0.017,1/m,ok,0.017,,solonenko2015,
I,425,b,0.00482,1/m,suspect,0.00482,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,450,Kd0,0.0192,1/m,ok,0.0192,,solonenko2015,
I,450,Kd,0.022,1/m,ok,0.022,,solonenko2015,
I,450,KdH,0.023,1/m,ok,0.023,,solonenko2015,
I,450,a,0.018,1/m,ok,0.018,,solonenko2015,
I,450,b,0.00381,1/m,suspect,0.00381,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,475,Kd0,0.0182,1/m,ok,0.0182,,solonenko2015,
I,475,Kd,0.021,1/m,ok,0.021,,solonenko2015,
I,475,KdH,0.023,1/m,ok,0.023,,solonenko2015,
I,475,a,0.019,1/m,ok,0.019,,solonenko2015,
I,475,b,0.00306,1/m,suspect,0.00306,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,500,Kd0,0.0284,1/m,ok,0.0284,,solonenko2015,
I,500,Kd,0.029,1/m,ok,0.029,,solonenko2015,
I,500,KdH,0.03,1/m,ok,0.03,,solonenko2015,
I,500,a,0.026,1/m,ok,0.026,,solonenko2015,
I,500,b,0.00249,1/m,suspect,0.00249,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,525,Kd0,0.0398,1/m,ok,0.0398,,solonenko2015,
I,525,Kd,0.049,1/m,ok,0.049,,solonenko2015,
I,525,KdH,0.051,1/m,ok,0.051,,solonenko2015,
I,525,a,0.046,1/m,ok,0.046,,solonenko2015,
I,525,b,0.00205,1/m,suspect,0.00205,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,550,Kd0,0.0598,1/m,ok,0.0598,,solonenko2015,
I,550,Kd,0.065,1/m,ok,0.065,,solonenko2015,
I,550,KdH,0.068,1/m,ok,0.068,,solonenko2015,
I,550,a,0.062,1/m,ok,0.062,,solonenko2015,
I,550,b,0.0017,1/m,suspect,0.0017,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,575,Kd0,0.0834,1/m,ok,0.0834,,solonenko2015,
I,575,Kd,0.085,1/m,ok,0.085,,solonenko2015,
I,575,KdH,0.089,1/m,ok,0.089,,solonenko2015,
I,575,a,0.082,1/m,ok,0.082,,solonenko2015,
I,575,b,0.00143,1/m,suspect,0.00143,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,600,Kd0,0.163,1/m,suspect,0.163,,solonenko2015,同じ表の a=0.228 を下回る。Kd は a を上回るはずで物理的に不整合。同表の Kd(モデル値)=0.233 とも -30% 違う
I,600,Kd,0.233,1/m,ok,0.233,,solonenko2015,
I,600,KdH,0.242,1/m,ok,0.242,,solonenko2015,
I,600,a,0.228,1/m,ok,0.228,,solonenko2015,
I,600,b,0.00122,1/m,suspect,0.00122,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,625,Kd0,0.301,1/m,ok,0.301,,solonenko2015,
I,625,Kd,0.302,1/m,ok,0.302,,solonenko2015,
I,625,KdH,0.312,1/m,ok,0.312,,solonenko2015,
I,625,a,0.295,1/m,ok,0.295,,solonenko2015,
I,625,b,0.00104,1/m,suspect,0.00104,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,650,Kd0,0.357,1/m,ok,0.357,,solonenko2015,
I,650,Kd,0.341,1/m,ok,0.341,,solonenko2015,
I,650,KdH,0.359,1/m,ok,0.359,,solonenko2015,
I,650,a,0.334,1/m,ok,0.334,,solonenko2015,
I,650,b,0.000899,1/m,suspect,0.000899,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,675,Kd0,0.416,1/m,ok,0.416,,solonenko2015,
I,675,Kd,0.444,1/m,ok,0.444,,solonenko2015,
I,675,KdH,0.471,1/m,ok,0.471,,solonenko2015,
I,675,a,0.434,1/m,ok,0.434,,solonenko2015,
I,675,b,0.000782,1/m,suspect,0.000782,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
I,700,Kd0,0.528,1/m,ok,0.528,,solonenko2015,
I,700,Kd,0.595,1/m,ok,0.595,,solonenko2015,
I,700,KdH,0.653,1/m,ok,0.653,,solonenko2015,
I,700,a,0.582,1/m,ok,0.582,,solonenko2015,
I,700,b,0.000685,1/m,suspect,0.000685,,solonenko2015,表3のIの Bs=8e-5 が同論文のb列と矛盾する (b列へのフィットは Bs≈2.1e-4)。ただし値自体が微小
IA,300,Kd0,0.223,1/m,ok,0.223,,solonenko2015,
IA,300,Kd,0.241,1/m,ok,0.241,,solonenko2015,
IA,300,KdH,0.266,1/m,ok,0.266,,solonenko2015,
IA,300,a,0.221,1/m,ok,0.221,,solonenko2015,
IA,300,b,0.0255,1/m,suspect,0.0255,,solonenko2015,表3のIAの Bl=0.005 が同論文のb列と矛盾する。b列にフィットすると Bl≈0.001 (Bs=0.002は一致)。b列側が正しいと考えられる
IA,310,Kd0,0.186,1/m,ok,0.186,,solonenko2015,
IA,310,Kd,0.199,1/m,ok,0.199,,solonenko2015,
IA,310,KdH,0.218,1/m,ok,0.218,,solonenko2015,
IA,310,a,0.181,1/m,ok,0.181,,solonenko2015,
IA,310,b,0.0226,1/m,suspect,0.0226,,solonenko2015,表3のIAの Bl=0.005 が同論文のb列と矛盾する。b列にフィットすると Bl≈0.001 (Bs=0.002は一致)。b列側が正しいと考えられる
IA,350,Kd0,0.078,1/m,ok,0.078,,solonenko2015,
IA,350,Kd,0.0776,1/m,ok,0.0776,,solonenko2015,
IA,350,KdH,0.085,1/m,ok,0.085,,solonenko2015,
IA,350,a,0.0673,1/m,ok,0.0673,,solonenko2015,
