water_type,wavelength_nm,quantity,value_per_m,unit,status,note
IB,300,a,0.149,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,300,b,0.178,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,301,a,0.147,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,301,b,0.177,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,302,a,0.145,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,302,b,0.177,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,303,a,0.143,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,303,b,0.176,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,304,a,0.14,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,304,b,0.176,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,305,a,0.139,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,305,b,0.175,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,306,a,0.137,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,306,b,0.174,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,307,a,0.135,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,307,b,0.174,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,308,a,0.133,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,308,b,0.173,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,309,a,0.131,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,309,b,0.173,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,310,a,0.129,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,310,b,0.172,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,311,a,0.127,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,311,b,0.172,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,312,a,0.125,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,312,b,0.172,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,313,a,0.124,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,313,b,0.171,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,314,a,0.122,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,314,b,0.171,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,315,a,0.12,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,315,b,0.17,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,316,a,0.119,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
