water_type,wavelength_nm,quantity,value_per_m,unit,std_dev_per_m,n_campaigns,status,note
1C,412,a,0.179881,1/m,0.039325,32,included,
1C,440,a,0.158543,1/m,0.033724,34,included,
1C,488,a,0.109766,1/m,0.0205378,33,included,
1C,510,a,0.105167,1/m,0.0162043,32,included,
1C,532,a,0.105359,1/m,0.0111753,17,included,
1C,555,a,0.0990775,1/m,0.0126742,33,included,
1C,630,a,0.314263,1/m,0.00764254,16,included,
1C,650,a,0.366093,1/m,0.0108933,31,included,
1C,676,a,0.500437,1/m,0.0148955,31,included,
1C,715,a,1.004,1/m,3.37065e-16,23,included,
1C,412,b,0.462201,1/m,0.157956,32,included,
1C,440,b,0.434849,1/m,0.14521,33,included,
1C,488,b,0.446468,1/m,0.142095,32,included,
1C,510,b,0.437326,1/m,0.140566,33,included,
1C,532,b,0.383693,1/m,0.124513,17,included,
1C,555,b,0.446989,1/m,0.141207,33,included,
1C,630,b,0.476124,1/m,0.081489,15,included,
1C,650,b,0.41185,1/m,0.129353,31,included,
1C,676,b,0.381476,1/m,0.119167,31,included,
1C,715,b,0.449959,1/m,0.109247,23,included,
3C,412,a,0.234931,1/m,0.0483727,30,included,
3C,440,a,0.23078,1/m,0.0389673,31,included,
3C,488,a,0.152348,1/m,0.0286974,33,included,
3C,510,a,0.139123,1/m,0.0225215,33,included,
3C,532,a,0.138388,1/m,0.0142466,12,included,
3C,555,a,0.118321,1/m,0.0162805,33,included,
3C,630,a,0.323838,1/m,0.00865968,21,included,
3C,650,a,0.375497,1/m,0.0120489,33,included,
3C,676,a,0.528638,1/m,0.0218665,33,included,
3C,715,a,1.004,1/m,5.42275e-16,28,included,
3C,412,b,0.663373,1/m,0.198631,31,included,
3C,440,b,0.635847,1/m,0.205715,34,included,
3C,488,b,0.641777,1/m,0.201755,33,included,
3C,510,b,0.667509,1/m,0.192011,34,included,
3C,532,b,0.770366,1/m,0.110405,11,included,
3C,555,b,0.675353,1/m,0.190753,34,included,
3C,630,b,0.61802,1/m,0.185332,22,included,
3C,650,b,0.652254,1/m,0.155769,33,included,
3C,676,b,0.588447,1/m,0.155492,34,included,
3C,715,b,0.637482,1/m,0.135648,29,included,
5C,412,a,0.436458,1/m,0.174749,8,included,
5C,440,a,0.3269,1/m,0.103965,7,included,
5C,488,a,0.212566,1/m,0.0649215,7,included,
5C,510,a,0.189303,1/m,0.0514822,7,included,
5C,532,a,0.17033,1/m,0.0432042,6,included,
5C,555,a,0.156698,1/m,0.0331153,7,included,
5C,630,a,0.542889,1/m,0.251118,3,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
5C,650,a,0.395237,1/m,0.0301525,7,included,
5C,676,a,0.533655,1/m,0.0635616,7,included,
5C,715,a,1.004,1/m,2.02698e-16,6,included,
5C,412,b,1.10369,1/m,0.435666,7,included,
5C,440,b,1.07248,1/m,0.433899,7,included,
5C,488,b,1.23827,1/m,0.550721,8,included,
5C,510,b,1.26845,1/m,0.247247,7,included,
5C,532,b,1.09496,1/m,0.487467,6,included,
5C,555,b,1.26652,1/m,0.238555,7,included,
5C,630,b,1.09875,1/m,0.0227964,3,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
5C,650,b,1.23676,1/m,0.521398,8,included,
5C,676,b,1.07046,1/m,0.433398,7,included,
5C,715,b,1.21951,1/m,0.256532,7,included,
7C,412,a,0.82006,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,440,a,0.645713,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,488,a,0.409927,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,510,a,0.354547,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,532,a,0.31138,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,555,a,0.272953,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,650,a,0.414713,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,676,a,0.517527,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,715,a,1.004,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,412,b,3.39927,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,440,b,3.40091,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,488,b,3.47143,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,510,b,3.4889,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,532,b,3.49736,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,555,b,3.49723,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,650,b,3.4516,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,676,b,3.42633,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
7C,715,b,3.44019,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,412,a,0.0123,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,440,a,0.0234,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,488,a,0.0133,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,510,a,0.0419,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,555,a,0.0656,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,630,a,0.2985,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,650,a,0.3449,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,676,a,0.4582,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IA,412,b,0.1175,1/m,,1,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
